address,year
"г. Пермь, ул. Бенгальская, д. 14",1985
"г. Пермь, ул. Бенгальская, д. 16",1980
"г. Пермь, ул. Бенгальская, д. 18",1982
"г. Пермь, ул. Берег Камы, д. 38",1960
"г. Пермь, пер. Бетонный, д. 2",1997
"г. Пермь, пер. Бетонный, д. 3",1958
"г. Пермь, ул. Бирская, д. 3",1951
"г. Пермь, ул. Бирская, д. 4",1951
"г. Пермь, ул. Блочная, д. 1",1958
"г. Пермь, ул. Блочная, д. 2",1958
"г. Пермь, ул. Блочная, д. 3",1957
"г. Пермь, ул. Блочная, д. 4",1957
"г. Пермь, ул. Блочная, д. 5",1957
"г. Пермь, ул. Блочная, д. 6",1962
"г. Пермь, ул. Блочная, д. 6 км.2",1958
